Index,บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ
115225,29.03.2024,,3,,EFAD0601,53602104,6410004732,6410004629,31.03.2024,31.03.2024,SC,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"100,000.00",,ปมก.คจ.มี.ค.67,,,
115226,01.04.2024,,4,,EFAD0402,53602104,6410004629,6410004732,01.04.2024,31.03.2024,SC,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"-100,000.00",,ปมก.คจ.มี.ค.67,,,
115227,24.04.2024,,4,,HLSMK01,53602104,3900001853,3300007837,24.04.2024,02.04.2024,KR,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"12,249.50",VX, 356521 ตนเอง ปมก.6410004629,,,
115228,26.04.2024,,4,,HLSMK01,53602104,3300007837,3900001853,24.04.2024,02.04.2024,KZ,1P10200,1P10202,1P10202N0301,199990000,,19201,,0,"-12,249.50",VX, 356521 ตนเอง ปมก.6410004629,,,
133902,03.04.2024,,3,,EMADAD02,53662101,,6200000245,15.03.2024,15.03.2024,SB,1D30300,1D30303,1D30303N0301,199990000,,19201,,0,"-5,719.50",V7,,,,
133903,20.03.2024,,3,,EITSAD01,53662101,,6200000201,19.03.2024,19.03.2024,SB,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"-19,980.00",V7,ปป.รหัสบัญชี 8100002260/2024,,,
133904,19.03.2024,,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"7,080.00",,,,,7000529
133905,19.03.2024,,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
133906,19.03.2024,,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
133907,19.03.2024,,3,,EMADAD02,53662101,,8100002260,19.03.2024,19.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"4,300.00",,,,,7000529
133908,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,120,,,,,7000716
133909,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,56,,,,,7000718
133910,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,56,,,,,7000718
133911,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,16,,,,,7000864
133912,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,8,,,,,7000864
133913,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,47.5,,,,,7000416
133914,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,200,,,,,7000416
133915,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"1,056.00",,,,,7000288
133916,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,"1,056.00",,,,,7000288
133917,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,440,,,,,7000744
133918,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,72,,,,,7000744
133919,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,72,,,,,7000744
133920,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,72,,,,,7000744
133921,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,864,,,,,7000694
133922,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,672,,,,,7000694
133923,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,632,,,,,7000307
133924,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,140,,,,,7000268
133925,20.03.2024,,3,,EMADAD02,53662101,,8100002284,20.03.2024,20.03.2024,WE,1D30300,1D30303,1D30303N0301,199990000,,19201,,,140,,,,,7000268
136056,05.04.2024,,3,,EFAD0509,53715311,,4600000465,31.03.2024,31.03.2024,AF,1D30200,1D30203,1D30203N0301,,,19301,,,"2,206.26",,AFB01202400301-0000000465,,,
136057,05.04.2024,,3,,EFAD0509,53715311,,4600000465,31.03.2024,31.03.2024,AF,1D30200,1D30203,1D30203N0301,,,19301,,,"1,442.43",,AFB01202400301-0000000465,,,
136058,05.04.2024,,3,,EFAD0509,53715311,,4600000467,31.03.2024,31.03.2024,AF,1D30200,1D30203,1D30203N0301,,,19301,,,"2,175.09",,AFB01202400301-0000000467,,,
